neuron_1,neuron_2,neuron3
0.92,0.76,0.75
0.92,0.76,0.75
0.92,0.76,0.75
0.92,0.76,0.74
0.92,0.76,0.74
0.92,0.76,0.74
0.92,0.75,0.74
0.93,0.75,0.74
0.93,0.75,0.74
0.93,0.75,0.74
0.93,0.75,0.74
0.93,0.75,0.74
0.93,0.75,0.74
0.93,0.75,0.74
0.93,0.75,0.74
0.93,0.75,0.74
0.93,0.75,0.74
0.93,0.75,0.74
0.93,0.75,0.74
0.93,0.75,0.74
0.93,0.75,0.73
0.93,0.75,0.73
0.94,0.75,0.73
0.94,0.75,0.73
0.94,0.75,0.73
0.94,0.75,0.73
0.94,0.74,0.73
0.94,0.74,0.73
0.94,0.74,0.73
0.94,0.74,0.73
0.94,0.74,0.73
0.94,0.74,0.73
0.94,0.74,0.73
0.94,0.74,0.73
0.94,0.74,0.72
0.94,0.74,0.72
0.94,0.74,0.72
0.94,0.74,0.72
0.94,0.74,0.72
0.94,0.74,0.72
0.95,0.74,0.72
0.95,0.74,0.72
0.95,0.73,0.72
0.95,0.73,0.72
0.95,0.73,0.72
0.95,0.73,0.72
0.95,0.73,0.72
0.95,0.73,0.71
0.95,0.73,0.71
0.95,0.73,0.71
0.95,0.73,0.71
0.95,0.73,0.71
0.95,0.73,0.71
0.95,0.73,0.71
0.95,0.73,0.71
0.95,0.73,0.71
0.95,0.73,0.71
0.95,0.72,0.71
0.95,0.72,0.70
0.95,0.72,0.70
0.95,0.72,0.70
0.96,0.72,0.70
0.96,0.72,0.70
0.96,0.72,0.70
0.96,0.72,0.70
0.96,0.72,0.70
0.96,0.72,0.70
0.96,0.72,0.70
0.96,0.72,0.70
0.96,0.72,0.69
0.96,0.71,0.69
0.96,0.71,0.69
0.96,0.71,0.69
0.96,0.71,0.69
0.96,0.71,0.69
0.96,0.71,0.69
0.96,0.71,0.69
0.96,0.71,0.69
0.96,0.71,0.69
0.96,0.71,0.69
0.96,0.71,0.68
0.96,0.71,0.68
0.96,0.71,0.68
0.96,0.70,0.68
0.96,0.70,0.68
0.96,0.70,0.68
0.96,0.70,0.68
0.97,0.70,0.68
0.97,0.70,0.68
0.97,0.70,0.68
0.97,0.70,0.67
0.97,0.70,0.67
0.97,0.70,0.67
0.97,0.70,0.67
0.97,0.70,0.67
0.97,0.69,0.67
0.97,0.69,0.67
0.97,0.69,0.67
0.97,0.69,0.67
0.97,0.69,0.66
0.97,0.69,0.66
0.97,0.69,0.66
0.97,0.69,0.66
0.97,0.69,0.66
0.97,0.69,0.66
0.97,0.69,0.66
0.97,0.69,0.66
0.97,0.68,0.66
0.97,0.68,0.66
0.97,0.68,0.65
0.97,0.68,0.65
0.97,0.68,0.65
0.97,0.68,0.65
0.97,0.68,0.65
0.97,0.68,0.65
0.97,0.68,0.65
0.97,0.68,0.65
0.97,0.68,0.65
0.97,0.67,0.64
0.97,0.67,0.64
0.97,0.67,0.64
0.97,0.67,0.64
0.97,0.67,0.64
0.98,0.67,0.64
0.98,0.67,0.64
0.98,0.67,0.64
0.98,0.67,0.64
0.98,0.67,0.63
0.98,0.67,0.63
0.98,0.67,0.63
0.98,0.66,0.63
0.98,0.66,0.63
0.98,0.66,0.63
0.98,0.66,0.63
0.98,0.66,0.63
0.98,0.66,0.63
0.98,0.66,0.62
0.98,0.66,0.62
0.98,0.66,0.62
0.98,0.66,0.62
0.98,0.66,0.62
0.98,0.65,0.62
0.98,0.65,0.62
0.98,0.65,0.62
0.98,0.65,0.62
0.98,0.65,0.61
0.98,0.65,0.61
0.98,0.65,0.61
0.98,0.65,0.61
0.98,0.65,0.61
0.98,0.65,0.61
0.98,0.65,0.61
0.98,0.64,0.61
0.98,0.64,0.61
0.98,0.64,0.60
0.98,0.64,0.60
0.98,0.64,0.60
0.98,0.64,0.60
0.98,0.64,0.60
0.98,0.64,0.60
0.98,0.64,0.60
0.98,0.64,0.60
0.98,0.64,0.60
0.98,0.63,0.59
0.98,0.63,0.59
0.98,0.63,0.59
0.98,0.63,0.59
0.98,0.63,0.59
0.98,0.63,0.59
0.98,0.63,0.59
0.98,0.63,0.59
0.98,0.63,0.59
0.98,0.63,0.58
0.98,0.63,0.58
0.98,0.62,0.58
0.98,0.62,0.58
0.98,0.62,0.58
0.99,0.62,0.58
0.99,0.62,0.58
0.99,0.62,0.58
0.99,0.62,0.58
0.99,0.62,0.57
0.99,0.62,0.57
0.99,0.62,0.57
0.99,0.62,0.57
0.99,0.61,0.57
0.99,0.61,0.57
0.99,0.61,0.57
0.99,0.61,0.57
0.99,0.61,0.57
0.99,0.61,0.56
0.99,0.61,0.56
0.99,0.61,0.56
0.99,0.61,0.56
0.99,0.61,0.56
0.99,0.61,0.56
0.99,0.60,0.56
0.99,0.60,0.56
0.99,0.60,0.55
0.99,0.60,0.55
0.99,0.60,0.55
0.99,0.60,0.55
0.99,0.60,0.55
0.99,0.60,0.55
0.99,0.60,0.55
0.99,0.60,0.55
0.99,0.60,0.55
0.99,0.60,0.54
0.99,0.59,0.54
0.99,0.59,0.54
0.99,0.59,0.54
0.99,0.59,0.54
0.99,0.59,0.54
0.99,0.59,0.54
0.99,0.59,0.54
0.99,0.59,0.54
0.99,0.59,0.53
0.99,0.59,0.53
0.99,0.59,0.53
0.99,0.58,0.53
0.99,0.58,0.53
0.99,0.58,0.53
0.99,0.58,0.53
0.99,0.58,0.53
0.99,0.58,0.53
0.99,0.58,0.52
