neuron_1,neuron_2,neuron_3
0.43,0.21,0.00
0.41,0.23,0.00
0.40,0.25,0.00
0.38,0.26,0.00
0.36,0.28,0.00
0.34,0.30,0.00
0.31,0.31,0.00
0.29,0.33,0.00
0.27,0.34,0.00
0.24,0.35,0.00
0.22,0.36,0.00
0.19,0.38,0.00
0.17,0.39,0.00
0.14,0.40,0.00
0.11,0.41,0.00
0.09,0.42,0.00
0.06,0.42,0.00
0.04,0.43,0.00
0.01,0.44,0.00
0.00,0.45,0.00
0.00,0.45,0.00
0.00,0.46,0.02
0.00,0.47,0.05
0.00,0.47,0.07
0.00,0.47,0.10
0.00,0.46,0.12
0.00,0.46,0.14
0.00,0.45,0.17
0.00,0.44,0.19
0.00,0.42,0.21
0.00,0.41,0.23
0.00,0.39,0.24
0.00,0.37,0.26
0.00,0.35,0.28
0.00,0.33,0.29
0.00,0.31,0.31
0.00,0.29,0.32
0.00,0.26,0.34
0.00,0.24,0.35
0.00,0.21,0.36
0.00,0.19,0.37
0.00,0.16,0.38
0.00,0.14,0.39
0.00,0.11,0.40
0.00,0.09,0.41
0.00,0.06,0.42
0.00,0.04,0.43
0.00,0.01,0.44
0.00,0.00,0.44
0.00,0.00,0.45
0.00,0.00,0.46
0.02,0.00,0.46
0.05,0.00,0.46
0.07,0.00,0.46
0.10,0.00,0.46
0.12,0.00,0.45
0.14,0.00,0.44
0.17,0.00,0.43
0.19,0.00,0.42
0.21,0.00,0.40
0.23,0.00,0.39
0.24,0.00,0.37
0.26,0.00,0.35
0.28,0.00,0.33
0.29,0.00,0.31
0.31,0.00,0.28
0.32,0.00,0.26
0.33,0.00,0.24
0.35,0.00,0.21
0.36,0.00,0.19
0.37,0.00,0.16
0.38,0.00,0.14
0.39,0.00,0.11
0.40,0.00,0.09
0.41,0.00,0.06
0.42,0.00,0.04
0.42,0.00,0.01
0.43,0.00,0.00
0.44,0.00,0.00
0.45,0.00,0.00
0.45,0.02,0.00
0.46,0.05,0.00
0.46,0.07,0.00
0.46,0.10,0.00
0.46,0.12,0.00
0.45,0.15,0.00
0.44,0.17,0.00
0.43,0.19,0.00
0.42,0.21,0.00
0.40,0.23,0.00
0.38,0.24,0.00
0.36,0.26,0.00
0.34,0.28,0.00
0.32,0.29,0.00
0.30,0.31,0.00
0.28,0.32,0.00
0.26,0.33,0.00
0.23,0.35,0.00
0.21,0.36,0.00
0.18,0.37,0.00
0.16,0.38,0.00
0.13,0.39,0.00
0.11,0.40,0.00
0.08,0.41,0.00
0.06,0.41,0.00
0.03,0.42,0.00
0.01,0.43,0.00
0.00,0.44,0.00
0.00,0.44,0.00
0.00,0.45,0.03
0.00,0.45,0.05
0.00,0.46,0.08
0.00,0.46,0.10
0.00,0.45,0.13
0.00,0.44,0.15
0.00,0.44,0.17
0.00,0.42,0.19
0.00,0.41,0.21
0.00,0.39,0.23
0.00,0.38,0.24
0.00,0.36,0.26
0.00,0.34,0.28
0.00,0.32,0.29
0.00,0.30,0.31
0.00,0.27,0.32
0.00,0.25,0.33
0.00,0.23,0.35
0.00,0.20,0.36
0.00,0.18,0.37
0.00,0.15,0.38
0.00,0.13,0.39
0.00,0.10,0.40
0.00,0.08,0.41
0.00,0.05,0.41
0.00,0.03,0.42
0.00,0.00,0.43
0.00,0.00,0.44
0.00,0.00,0.44
0.00,0.00,0.45
0.03,0.00,0.45
0.06,0.00,0.45
0.08,0.00,0.45
0.11,0.00,0.45
0.13,0.00,0.44
0.15,0.00,0.43
0.17,0.00,0.42
0.19,0.00,0.41
0.21,0.00,0.39
0.23,0.00,0.37
0.25,0.00,0.35
0.26,0.00,0.33
0.28,0.00,0.31
0.29,0.00,0.29
0.31,0.00,0.27
0.32,0.00,0.25
0.33,0.00,0.22
0.35,0.00,0.20
0.36,0.00,0.17
0.37,0.00,0.15
0.38,0.00,0.12
0.39,0.00,0.10
0.40,0.00,0.07
0.41,0.00,0.05
0.41,0.00,0.02
0.42,0.00,0.00
0.43,0.00,0.00
0.43,0.00,0.00
0.44,0.01,0.00
0.45,0.03,0.00
0.45,0.06,0.00
0.45,0.09,0.00
0.45,0.11,0.00
0.45,0.13,0.00
0.44,0.15,0.00
0.43,0.17,0.00
0.42,0.19,0.00
0.40,0.21,0.00
0.38,0.23,0.00
0.37,0.25,0.00
0.35,0.26,0.00
0.33,0.28,0.00
0.31,0.29,0.00
0.29,0.31,0.00
0.26,0.32,0.00
0.24,0.33,0.00
0.22,0.35,0.00
0.19,0.36,0.00
0.17,0.37,0.00
0.14,0.38,0.00
0.12,0.39,0.00
0.09,0.40,0.00
0.07,0.41,0.00
0.04,0.41,0.00
0.02,0.42,0.00
0.00,0.43,0.00
0.00,0.43,0.00
0.00,0.44,0.01
0.00,0.45,0.04
0.00,0.45,0.07
0.00,0.45,0.09
0.00,0.45,0.11
0.00,0.44,0.14
0.00,0.43,0.16
0.00,0.42,0.18
0.00,0.41,0.20
0.00,0.40,0.22
0.00,0.38,0.23
0.00,0.36,0.25
0.00,0.34,0.27
0.00,0.32,0.28
0.00,0.30,0.30
0.00,0.28,0.31
0.00,0.26,0.32
0.00,0.23,0.34
0.00,0.21,0.35
0.00,0.19,0.36
0.00,0.16,0.37
0.00,0.14,0.38
0.00,0.11,0.39
0.00,0.09,0.40
0.00,0.06,0.41
0.00,0.04,0.41
0.00,0.01,0.42
0.00,0.00,0.43
0.00,0.00,0.43
0.00,0.00,0.44
0.02,0.00,0.45
0.05,0.00,0.45
0.07,0.00,0.45
0.10,0.00,0.45
0.12,0.00,0.44
0.14,0.00,0.43
0.16,0.00,0.42
0.18,0.00,0.41
0.20,0.00,0.39
0.22,0.00,0.37
0.24,0.00,0.36
0.25,0.00,0.34
0.27,0.00,0.32
0.29,0.00,0.30
0.30,0.00,0.27
0.31,0.00,0.25
0.33,0.00,0.23
0.34,0.00,0.20
0.35,0.00,0.18
0.36,0.00,0.15
0.37,0.00,0.13
0.38,0.00,0.11
0.39,0.00,0.08
0.40,0.00,0.06
0.41,0.00,0.03
0.41,0.00,0.01
0.42,0.00,0.00
0.43,0.00,0.00
0.44,0.00,0.00
0.44,0.03,0.00
0.45,0.05,0.00
0.45,0.08,0.00
0.45,0.10,0.00
0.44,0.12,0.00
0.44,0.15,0.00
0.43,0.17,0.00
0.42,0.19,0.00
0.40,0.21,0.00
0.39,0.22,0.00
0.37,0.24,0.00
0.35,0.26,0.00
0.33,0.27,0.00
0.31,0.29,0.00
0.29,0.30,0.00
0.27,0.32,0.00
0.24,0.33,0.00
0.22,0.34,0.00
0.20,0.35,0.00
0.17,0.36,0.00
0.15,0.37,0.00
0.12,0.38,0.00
0.10,0.39,0.00
0.08,0.40,0.00
0.05,0.41,0.00
0.03,0.42,0.00
0.00,0.42,0.00
0.00,0.43,0.00
0.00,0.44,0.01
0.00,0.44,0.03
0.00,0.45,0.06
0.00,0.45,0.08
0.00,0.45,0.11
0.00,0.44,0.13
0.00,0.43,0.15
0.00,0.42,0.17
0.00,0.41,0.19
0.00,0.40,0.21
0.00,0.38,0.23
0.00,0.36,0.25
0.00,0.35,0.26
0.00,0.33,0.28
0.00,0.30,0.29
0.00,0.28,0.31
0.00,0.26,0.32
0.00,0.24,0.33
0.00,0.21,0.34
0.00,0.19,0.35
0.00,0.17,0.37
0.00,0.14,0.38
0.00,0.12,0.38
0.00,0.09,0.39
0.00,0.07,0.40
0.00,0.04,0.41
0.00,0.02,0.42
0.00,0.00,0.42
0.00,0.00,0.43
0.00,0.00,0.44
0.01,0.00,0.44
0.04,0.00,0.45
0.07,0.00,0.45
0.09,0.00,0.44
0.11,0.00,0.44
0.14,0.00,0.43
0.16,0.00,0.42
0.18,0.00,0.41
0.20,0.00,0.39
0.22,0.00,0.38
0.23,0.00,0.36
0.25,0.00,0.34
0.27,0.00,0.32
0.28,0.00,0.30
0.30,0.00,0.28
0.31,0.00,0.25
0.32,0.00,0.23
0.33,0.00,0.21
0.35,0.00,0.18
0.36,0.00,0.16
0.37,0.00,0.14
0.38,0.00,0.11
0.39,0.00,0.09
0.40,0.00,0.06
0.40,0.00,0.04
0.41,0.00,0.01
0.42,0.00,0.00
0.43,0.00,0.00
0.43,0.00,0.00
0.44,0.02,0.00
0.44,0.05,0.00
0.45,0.07,0.00
0.45,0.10,0.00
0.44,0.12,0.00
0.44,0.14,0.00
0.43,0.16,0.00
0.42,0.18,0.00
0.40,0.20,0.00
0.39,0.22,0.00
0.37,0.24,0.00
0.35,0.25,0.00
0.33,0.27,0.00
0.31,0.28,0.00
0.29,0.30,0.00
0.27,0.31,0.00
0.25,0.32,0.00
0.22,0.34,0.00
0.20,0.35,0.00
0.18,0.36,0.00
0.15,0.37,0.00
0.13,0.38,0.00
0.10,0.39,0.00
0.08,0.40,0.00
0.06,0.41,0.00
0.03,0.41,0.00
0.01,0.42,0.00
0.00,0.43,0.00
0.00,0.43,0.00
0.00,0.44,0.03
0.00,0.44,0.05
0.00,0.45,0.08
0.00,0.44,0.10
0.00,0.44,0.13
0.00,0.43,0.15
0.00,0.42,0.17
0.00,0.41,0.19
0.00,0.40,0.21
0.00,0.38,0.23
0.00,0.37,0.24
0.00,0.35,0.26
0.00,0.33,0.27
0.00,0.31,0.29
0.00,0.29,0.30
0.00,0.26,0.32
0.00,0.24,0.33
0.00,0.22,0.34
0.00,0.19,0.35
0.00,0.17,0.36
0.00,0.15,0.37
0.00,0.12,0.38
0.00,0.10,0.39
0.00,0.07,0.40
0.00,0.05,0.41
0.00,0.02,0.41
0.00,0.00,0.42
0.00,0.00,0.43
0.00,0.00,0.43
0.01,0.00,0.44
0.04,0.00,0.44
0.06,0.00,0.45
0.09,0.00,0.44
0.11,0.00,0.44
0.13,0.00,0.43
0.15,0.00,0.42
0.17,0.00,0.41
0.19,0.00,0.39
