neuron_1,neuron_2,neuron_3,neuron_4
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
0.00,0.29,0.00,0.29
